Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U18,SN74LVC3G04,MSOP-8_3x3mm_P0.65mm,174.223002,-91.075,0.0,top
U19,SN74LVC3G04,MSOP-8_3x3mm_P0.65mm,186.448528,-108.022614,-135.0,top
U2,AP2112K-3.3,SOT-23-5,141.0655,-59.842999,0.0,top
U20,SN74LVC3G04,MSOP-8_3x3mm_P0.65mm,184.423009,-95.267567,-45.0,top
U21,STM32G431CBTx,LQFP-48_7x7mm_P0.5mm,146.8,-79.6,180.0,top
U22,74HC174,TSSOP-16_4.4x5mm_P0.65mm,177.827001,-102.543001,90.0,top
U3,74HC174,TSSOP-16_4.4x5mm_P0.65mm,177.526002,-60.0855,90.0,top
U5,SN74LVC1G04,SOT-353_SC-70-5,179.489999,-71.854317,-90.0,top
U6,SN74LVC1G04,SOT-353_SC-70-5,175.8,-71.854317,-90.0,top
U7,SN74LVC1G04,SOT-353_SC-70-5,171.989999,-71.854316,-90.0,top
U8,SN74LVC1G04,SOT-353_SC-70-5,186.343735,-64.418729,0.0,top
U9,SN74LVC1G04,SOT-353_SC-70-5,186.343733,-68.063731,0.0,top
USB1,161N-4WVS11,USB-C-SMD_HANELECTRICITY_161N-4XVS11,131.3625,-77.4,-90.0,top
